配置编号,Background数量,块大小,调度器模式,具体配置,运行次数,Sustained吞吐量,Burst延迟(μs),突发轮次,queue_MB均值,queue_MB峰值,完成时间
6,2,16K,duet_dual,duet_dual(2097152/1048576),3,4.408GB/s,49.39,275,0.1,0.13,2026年 05月 21日 星期四 01:28:05 CST
6,2,16K,duet_dual,duet_dual(2097152/524288),3,4.390GB/s,49.96,275,0.1,0.13,2026年 05月 21日 星期四 01:29:05 CST
6,2,16K,duet_dual,duet_dual(2097152/262144),3,4.393GB/s,50.02,275,0.1,0.13,2026年 05月 21日 星期四 01:30:06 CST
7,4,64K,none,none,1,7.522GB/s,157.53,271,N/A,N/A,2026年 05月 21日 星期四 01:30:58 CST
7,4,64K,bfq,bfq,1,7.139GB/s,152.65,271,0.95,1.05,2026年 05月 21日 星期四 01:31:40 CST
7,4,64K,duet_same,duet_same(16777216),1,7.137GB/s,153.41,271,0.91,1.05,2026年 05月 21日 星期四 01:32:41 CST
7,4,64K,duet_same,duet_same(8388608),1,7.142GB/s,154.12,271,0.91,1.05,2026年 05月 21日 星期四 01:33:42 CST
7,4,64K,duet_same,duet_same(4194304),1,7.141GB/s,153.59,271,0.9,1.05,2026年 05月 21日 星期四 01:34:43 CST
7,4,64K,duet_same,duet_same(2097152),1,7.141GB/s,152.11,271,0.94,1.05,2026年 05月 21日 星期四 01:35:44 CST
7,4,64K,duet_same,duet_same(1048576),1,7.137GB/s,153.18,271,0.95,1.05,2026年 05月 21日 星期四 01:36:45 CST
7,4,64K,duet_dual,duet_dual(2097152/1048576),1,7.140GB/s,152.68,271,0.93,1.05,2026年 05月 21日 星期四 01:37:46 CST
7,4,64K,duet_dual,duet_dual(2097152/524288),1,7.230GB/s,128.91,271,0.92,1.05,2026年 05月 21日 星期四 01:38:47 CST
7,4,64K,duet_dual,duet_dual(2097152/262144),1,7.232GB/s,81.79,275,0.91,1.05,2026年 05月 21日 星期四 01:39:47 CST
7,4,64K,none,none,2,7.522GB/s,155.31,271,N/A,N/A,2026年 05月 21日 星期四 01:40:34 CST
7,4,64K,bfq,bfq,2,7.141GB/s,155.03,271,0.94,1.05,2026年 05月 21日 星期四 01:41:16 CST
7,4,64K,duet_same,duet_same(16777216),2,7.139GB/s,153.39,271,0.92,1.05,2026年 05月 21日 星期四 01:42:17 CST
7,4,64K,duet_same,duet_same(8388608),2,7.141GB/s,153.71,271,0.94,1.05,2026年 05月 21日 星期四 01:43:18 CST
7,4,64K,duet_same,duet_same(4194304),2,7.142GB/s,154.58,271,0.95,1.05,2026年 05月 21日 星期四 01:44:19 CST
7,4,64K,duet_same,duet_same(2097152),2,7.138GB/s,152.69,271,0.94,1.05,2026年 05月 21日 星期四 01:45:20 CST
